race,age_group,state,population
Non-Hispanic American Indian or Alaska Native,75-84 years,Indiana,630
Non-Hispanic American Indian or Alaska Native,75-84 years,Iowa,229
Non-Hispanic American Indian or Alaska Native,75-84 years,Kansas,662
Non-Hispanic American Indian or Alaska Native,75-84 years,Kentucky,409
Non-Hispanic American Indian or Alaska Native,75-84 years,Louisiana,1076
Non-Hispanic American Indian or Alaska Native,75-84 years,Maine,291
Non-Hispanic American Indian or Alaska Native,75-84 years,Maryland,628
Non-Hispanic American Indian or Alaska Native,75-84 years,Massachusetts,501
Non-Hispanic American Indian or Alaska Native,75-84 years,Michigan,1925
Non-Hispanic American Indian or Alaska Native,75-84 years,Minnesota,1364
Non-Hispanic American Indian or Alaska Native,75-84 years,Mississippi,430
Non-Hispanic American Indian or Alaska Native,75-84 years,Missouri,1048
Non-Hispanic American Indian or Alaska Native,75-84 years,Montana,1464
Non-Hispanic American Indian or Alaska Native,75-84 years,Nebraska,315
Non-Hispanic American Indian or Alaska Native,75-84 years,Nevada,1007
Non-Hispanic American Indian or Alaska Native,75-84 years,New Hampshire,106
Non-Hispanic American Indian or Alaska Native,75-84 years,New Jersey,619
Non-Hispanic American Indian or Alaska Native,75-84 years,New Mexico,5774
Non-Hispanic American Indian or Alaska Native,75-84 years,New York,2286
Non-Hispanic American Indian or Alaska Native,75-84 years,North Carolina,4200
Non-Hispanic American Indian or Alaska Native,75-84 years,North Dakota,700
Non-Hispanic American Indian or Alaska Native,75-84 years,Ohio,988
Non-Hispanic American Indian or Alaska Native,75-84 years,Oklahoma,9662
Non-Hispanic American Indian or Alaska Native,75-84 years,Oregon,1564
Non-Hispanic American Indian or Alaska Native,75-84 years,Pennsylvania,787
Non-Hispanic American Indian or Alaska Native,75-84 years,Rhode Island,173
Non-Hispanic American Indian or Alaska Native,75-84 years,South Carolina,819
Non-Hispanic American Indian or Alaska Native,75-84 years,South Dakota,1290
Non-Hispanic American Indian or Alaska Native,75-84 years,Tennessee,857
Non-Hispanic American Indian or Alaska Native,75-84 years,Texas,3740
Non-Hispanic American Indian or Alaska Native,75-84 years,United States,77978
Non-Hispanic American Indian or Alaska Native,75-84 years,Utah,589
Non-Hispanic American Indian or Alaska Native,75-84 years,Vermont,78
Non-Hispanic American Indian or Alaska Native,75-84 years,Virginia,1013
Non-Hispanic American Indian or Alaska Native,75-84 years,Washington,2851
Non-Hispanic American Indian or Alaska Native,75-84 years,West Virginia,219
Non-Hispanic American Indian or Alaska Native,75-84 years,Wisconsin,1381
Non-Hispanic American Indian or Alaska Native,75-84 years,Wyoming,280
Non-Hispanic American Indian or Alaska Native,All Ages,Alabama,27464
Non-Hispanic American Indian or Alaska Native,All Ages,Alaska,107674
Non-Hispanic American Indian or Alaska Native,All Ages,Arizona,283832
Non-Hispanic American Indian or Alaska Native,All Ages,Arkansas,22911
Non-Hispanic American Indian or Alaska Native,All Ages,California,163273
Non-Hispanic American Indian or Alaska Native,All Ages,Colorado,36614
Non-Hispanic American Indian or Alaska Native,All Ages,Connecticut,7758
Non-Hispanic American Indian or Alaska Native,All Ages,Delaware,3009
Non-Hispanic American Indian or Alaska Native,All Ages,District of Columbia,1407
Non-Hispanic American Indian or Alaska Native,All Ages,Florida,53689
Non-Hispanic American Indian or Alaska Native,All Ages,Georgia,24102
Non-Hispanic American Indian or Alaska Native,All Ages,Hawaii,3037
Non-Hispanic American Indian or Alaska Native,All Ages,Idaho,19385
Non-Hispanic American Indian or Alaska Native,All Ages,Illinois,19233
Non-Hispanic American Indian or Alaska Native,All Ages,Indiana,15474
Non-Hispanic American Indian or Alaska Native,All Ages,Iowa,9533
Non-Hispanic American Indian or Alaska Native,All Ages,Kansas,23119
Non-Hispanic American Indian or Alaska Native,All Ages,Kentucky,9421
Non-Hispanic American Indian or Alaska Native,All Ages,Louisiana,30109
Non-Hispanic American Indian or Alaska Native,All Ages,Maine,8870
Non-Hispanic American Indian or Alaska Native,All Ages,Maryland,14681
Non-Hispanic American Indian or Alaska Native,All Ages,Massachusetts,12281
Non-Hispanic American Indian or Alaska Native,All Ages,Michigan,57011
Non-Hispanic American Indian or Alaska Native,All Ages,Minnesota,59933
Non-Hispanic American Indian or Alaska Native,All Ages,Mississippi,14887
Non-Hispanic American Indian or Alaska Native,All Ages,Missouri,26659
Non-Hispanic American Indian or Alaska Native,All Ages,Montana,64710
Non-Hispanic American Indian or Alaska Native,All Ages,Nebraska,16133
Non-Hispanic American Indian or Alaska Native,All Ages,Nevada,26067
Non-Hispanic American Indian or Alaska Native,All Ages,New Hampshire,2903
Non-Hispanic American Indian or Alaska Native,All Ages,New Jersey,12720
Non-Hispanic American Indian or Alaska Native,All Ages,New Mexico,184643
Non-Hispanic American Indian or Alaska Native,All Ages,New York,56891
Non-Hispanic American Indian or Alaska Native,All Ages,North Carolina,116180
Non-Hispanic American Indian or Alaska Native,All Ages,North Dakota,38871
Non-Hispanic American Indian or Alaska Native,All Ages,Ohio,22767
Non-Hispanic American Indian or Alaska Native,All Ages,Oklahoma,328310
Non-Hispanic American Indian or Alaska Native,All Ages,Oregon,46704
Non-Hispanic American Indian or Alaska Native,All Ages,Pennsylvania,18556
Non-Hispanic American Indian or Alaska Native,All Ages,Rhode Island,4570
Non-Hispanic American Indian or Alaska Native,All Ages,South Carolina,18732
Non-Hispanic American Indian or Alaska Native,All Ages,South Dakota,73084
Non-Hispanic American Indian or Alaska Native,All Ages,Tennessee,19148
Non-Hispanic American Indian or Alaska Native,All Ages,Texas,92644
Non-Hispanic American Indian or Alaska Native,All Ages,United States,2417371
Non-Hispanic American Indian or Alaska Native,All Ages,Utah,29910
Non-Hispanic American Indian or Alaska Native,All Ages,Vermont,2072
Non-Hispanic American Indian or Alaska Native,All Ages,Virginia,22696
Non-Hispanic American Indian or Alaska Native,All Ages,Washington,95666
Non-Hispanic American Indian or Alaska Native,All Ages,West Virginia,3829
Non-Hispanic American Indian or Alaska Native,All Ages,Wisconsin,51937
Non-Hispanic American Indian or Alaska Native,All Ages,Wyoming,12262
Non-Hispanic American Indian or Alaska Native,Under 25 years,Alabama,7554
Non-Hispanic American Indian or Alaska Native,Under 25 years,Alaska,45122
Non-Hispanic American Indian or Alaska Native,Under 25 years,Arizona,112806
Non-Hispanic American Indian or Alaska Native,Under 25 years,Arkansas,7422
Non-Hispanic American Indian or Alaska Native,Under 25 years,California,48541
Non-Hispanic American Indian or Alaska Native,Under 25 years,Colorado,11903
Non-Hispanic American Indian or Alaska Native,Under 25 years,Connecticut,2764
Non-Hispanic American Indian or Alaska Native,Under 25 years,Delaware,747
Non-Hispanic American Indian or Alaska Native,Under 25 years,District of Columbia,336
Non-Hispanic American Indian or Alaska Native,Under 25 years,Florida,13545
Non-Hispanic American Indian or Alaska Native,Under 25 years,Georgia,7195
Non-Hispanic American Indian or Alaska Native,Under 25 years,Hawaii,837
Non-Hispanic American Indian or Alaska Native,Under 25 years,Idaho,6871
Non-Hispanic American Indian or Alaska Native,Under 25 years,Illinois,5621
Non-Hispanic American Indian or Alaska Native,Under 25 years,Indiana,4395
Non-Hispanic American Indian or Alaska Native,Under 25 years,Iowa,3733
Non-Hispanic American Indian or Alaska Native,Under 25 years,Kansas,8153
Non-Hispanic American Indian or Alaska Native,Under 25 years,Kentucky,2440
Non-Hispanic American Indian or Alaska Native,Under 25 years,Louisiana,10090
Non-Hispanic American Indian or Alaska Native,Under 25 years,Maine,2949
Non-Hispanic American Indian or Alaska Native,Under 25 years,Maryland,4135
Non-Hispanic American Indian or Alaska Native,Under 25 years,Massachusetts,3776
Non-Hispanic American Indian or Alaska Native,Under 25 years,Michigan,19051
Non-Hispanic American Indian or Alaska Native,Under 25 years,Minnesota,25370
Non-Hispanic American Indian or Alaska Native,Under 25 years,Mississippi,5779
Non-Hispanic American Indian or Alaska Native,Under 25 years,Missouri,8234
Non-Hispanic American Indian or Alaska Native,Under 25 years,Montana,28846
Non-Hispanic American Indian or Alaska Native,Under 25 years,Nebraska,7183
Non-Hispanic American Indian or Alaska Native,Under 25 years,Nevada,7842
Non-Hispanic American Indian or Alaska Native,Under 25 years,New Hampshire,808
Non-Hispanic American Indian or Alaska Native,Under 25 years,New Jersey,4022
Non-Hispanic American Indian or Alaska Native,Under 25 years,New Mexico,68891
Non-Hispanic American Indian or Alaska Native,Under 25 years,New York,18397
Non-Hispanic American Indian or Alaska Native,Under 25 years,North Carolina,38959
Non-Hispanic American Indian or Alaska Native,Under 25 years,North Dakota,18399
Non-Hispanic American Indian or Alaska Native,Under 25 years,Ohio,6115
Non-Hispanic American Indian or Alaska Native,Under 25 years,Oklahoma,131264
Non-Hispanic American Indian or Alaska Native,Under 25 years,Oregon,15034
Non-Hispanic American Indian or Alaska Native,Under 25 years,Pennsylvania,5585
Non-Hispanic American Indian or Alaska Native,Under 25 years,Rhode Island,1628
Non-Hispanic American Indian or Alaska Native,Under 25 years,South Carolina,5534
Non-Hispanic American Indian or Alaska Native,Under 25 years,South Dakota,35962
Non-Hispanic American Indian or Alaska Native,Under 25 years,Tennessee,5145
Non-Hispanic American Indian or Alaska Native,Under 25 years,Texas,27136
Non-Hispanic American Indian or Alaska Native,Under 25 years,United States,873708
Non-Hispanic American Indian or Alaska Native,Under 25 years,Utah,12069
Non-Hispanic American Indian or Alaska Native,Under 25 years,Vermont,521
Non-Hispanic American Indian or Alaska Native,Under 25 years,Virginia,6365
Non-Hispanic American Indian or Alaska Native,Under 25 years,Washington,33231
Non-Hispanic American Indian or Alaska Native,Under 25 years,West Virginia,856
Non-Hispanic American Indian or Alaska Native,Under 25 years,Wisconsin,19281
Non-Hispanic American Indian or Alaska Native,Under 25 years,Wyoming,5266
Non-Hispanic Asian, 85 years and over,Alabama,492
Non-Hispanic Asian, 85 years and over,Alaska,494
Non-Hispanic Asian, 85 years and over,Arizona,2647
Non-Hispanic Asian, 85 years and over,Arkansas,357
Non-Hispanic Asian, 85 years and over,California,119268
Non-Hispanic Asian, 85 years and over,Colorado,2100
Non-Hispanic Asian, 85 years and over,Connecticut,1326
Non-Hispanic Asian, 85 years and over,Delaware,349
Non-Hispanic Asian, 85 years and over,District of Columbia,249
Non-Hispanic Asian, 85 years and over,Florida,7356
Non-Hispanic Asian, 85 years and over,Georgia,3012
Non-Hispanic Asian, 85 years and over,Hawaii,28517
Non-Hispanic Asian, 85 years and over,Idaho,349
Non-Hispanic Asian, 85 years and over,Illinois,8396
Non-Hispanic Asian, 85 years and over,Indiana,844
Non-Hispanic Asian, 85 years and over,Iowa,403
Non-Hispanic Asian, 85 years and over,Kansas,648
Non-Hispanic Asian, 85 years and over,Kentucky,414
Non-Hispanic Asian, 85 years and over,Louisiana,816
Non-Hispanic Asian, 85 years and over,Maine,161
Non-Hispanic Asian, 85 years and over,Maryland,5116
Non-Hispanic Asian, 85 years and over,Massachusetts,4659
Non-Hispanic Asian, 85 years and over,Michigan,2596
Non-Hispanic Asian, 85 years and over,Minnesota,1876
Non-Hispanic Asian, 85 years and over,Mississippi,262
Non-Hispanic Asian, 85 years and over,Missouri,1016
Non-Hispanic Asian, 85 years and over,Montana,107
Non-Hispanic Asian, 85 years and over,Nebraska,323
Non-Hispanic Asian, 85 years and over,Nevada,3606
Non-Hispanic Asian, 85 years and over,New Hampshire,239
Non-Hispanic Asian, 85 years and over,New Jersey,9237
Non-Hispanic Asian, 85 years and over,New Mexico,443
Non-Hispanic Asian, 85 years and over,New York,24240
Non-Hispanic Asian, 85 years and over,North Carolina,1959
Non-Hispanic Asian, 85 years and over,North Dakota,46
Non-Hispanic Asian, 85 years and over,Ohio,2248
Non-Hispanic Asian, 85 years and over,Oklahoma,677
Non-Hispanic Asian, 85 years and over,Oregon,2349
Non-Hispanic Asian, 85 years and over,Pennsylvania,3870
Non-Hispanic Asian, 85 years and over,Rhode Island,314
Non-Hispanic Asian, 85 years and over,South Carolina,717
Non-Hispanic Asian, 85 years and over,South Dakota,53
Non-Hispanic Asian, 85 years and over,Tennessee,885
Non-Hispanic Asian, 85 years and over,Texas,10883
Non-Hispanic Asian, 85 years and over,United States,272474
Non-Hispanic Asian, 85 years and over,Utah,789
Non-Hispanic Asian, 85 years and over,Vermont,71
Non-Hispanic Asian, 85 years and over,Virginia,5446
Non-Hispanic Asian, 85 years and over,Washington,9071
Non-Hispanic Asian, 85 years and over,West Virginia,145
Non-Hispanic Asian, 85 years and over,Wisconsin,978
Non-Hispanic Asian, 85 years and over,Wyoming,55
Non-Hispanic Asian,25-34 years,Alabama,11064
Non-Hispanic Asian,25-34 years,Alaska,8031
Non-Hispanic Asian,25-34 years,Arizona,42648
Non-Hispanic Asian,25-34 years,Arkansas,9069
Non-Hispanic Asian,25-34 years,California,961518
Non-Hispanic Asian,25-34 years,Colorado,35625
Non-Hispanic Asian,25-34 years,Connecticut,31141
Non-Hispanic Asian,25-34 years,Delaware,7634
Non-Hispanic Asian,25-34 years,District of Columbia,9436
Non-Hispanic Asian,25-34 years,Florida,96558
Non-Hispanic Asian,25-34 years,Georgia,75625
Non-Hispanic Asian,25-34 years,Hawaii,60317
Non-Hispanic Asian,25-34 years,Idaho,4904
Non-Hispanic Asian,25-34 years,Illinois,130181
Non-Hispanic Asian,25-34 years,Indiana,29000
Non-Hispanic Asian,25-34 years,Iowa,17073
Non-Hispanic Asian,25-34 years,Kansas,17543
Non-Hispanic Asian,25-34 years,Kentucky,12736
Non-Hispanic Asian,25-34 years,Louisiana,13913
Non-Hispanic Asian,25-34 years,Maine,2668
Non-Hispanic Asian,25-34 years,Maryland,61250
Non-Hispanic Asian,25-34 years,Massachusetts,97240
Non-Hispanic Asian,25-34 years,Michigan,60429
Non-Hispanic Asian,25-34 years,Minnesota,60471
Non-Hispanic Asian,25-34 years,Mississippi,5436
Non-Hispanic Asian,25-34 years,Missouri,24202
Non-Hispanic Asian,25-34 years,Montana,1724
Non-Hispanic Asian,25-34 years,Nebraska,10891
Non-Hispanic Asian,25-34 years,Nevada,38785
Non-Hispanic Asian,25-34 years,New Hampshire,7591
Non-Hispanic Asian,25-34 years,New Jersey,138357
Non-Hispanic Asian,25-34 years,New Mexico,5579
Non-Hispanic Asian,25-34 years,New York,301541
Non-Hispanic Asian,25-34 years,North Carolina,59974
Non-Hispanic Asian,25-34 years,North Dakota,3106
Non-Hispanic Asian,25-34 years,Ohio,56248
Non-Hispanic Asian,25-34 years,Oklahoma,16400
Non-Hispanic Asian,25-34 years,Oregon,36004
Non-Hispanic Asian,25-34 years,Pennsylvania,85301
Non-Hispanic Asian,25-34 years,Rhode Island,8009
Non-Hispanic Asian,25-34 years,South Carolina,13793
Non-Hispanic Asian,25-34 years,South Dakota,3180
Non-Hispanic Asian,25-34 years,Tennessee,22415
Non-Hispanic Asian,25-34 years,Texas,252176
Non-Hispanic Asian,25-34 years,United States,3239492
Non-Hispanic Asian,25-34 years,Utah,16831
Non-Hispanic Asian,25-34 years,Vermont,2165
Non-Hispanic Asian,25-34 years,Virginia,93396
Non-Hispanic Asian,25-34 years,Washington,139407
Non-Hispanic Asian,25-34 years,West Virginia,2707
Non-Hispanic Asian,25-34 years,Wisconsin,36968
Non-Hispanic Asian,25-34 years,Wyoming,1232
Non-Hispanic Asian,35-44 years,Alabama,11784
Non-Hispanic Asian,35-44 years,Alaska,6503
Non-Hispanic Asian,35-44 years,Arizona,41133
Non-Hispanic Asian,35-44 years,Arkansas,8224
Non-Hispanic Asian,35-44 years,California,887372
Non-Hispanic Asian,35-44 years,Colorado,31203
Non-Hispanic Asian,35-44 years,Connecticut,29025
Non-Hispanic Asian,35-44 years,Delaware,6534
Non-Hispanic Asian,35-44 years,District of Columbia,6353
Non-Hispanic Asian,35-44 years,Florida,96469
Non-Hispanic Asian,35-44 years,Georgia,77612
Non-Hispanic Asian,35-44 years,Hawaii,64089
Non-Hispanic Asian,35-44 years,Idaho,3947
Non-Hispanic Asian,35-44 years,Illinois,120262
Non-Hispanic Asian,35-44 years,Indiana,26506
Non-Hispanic Asian,35-44 years,Iowa,13456
Non-Hispanic Asian,35-44 years,Kansas,13624
Non-Hispanic Asian,35-44 years,Kentucky,12501
Non-Hispanic Asian,35-44 years,Louisiana,13008
Non-Hispanic Asian,35-44 years,Maine,2750
Non-Hispanic Asian,35-44 years,Maryland,65799
Non-Hispanic Asian,35-44 years,Massachusetts,80419
Non-Hispanic Asian,35-44 years,Michigan,53433
Non-Hispanic Asian,35-44 years,Minnesota,44706
Non-Hispanic Asian,35-44 years,Mississippi,4718
Non-Hispanic Asian,35-44 years,Missouri,20811
Non-Hispanic Asian,35-44 years,Montana,1293
Non-Hispanic Asian,35-44 years,Nebraska,7790
Non-Hispanic Asian,35-44 years,Nevada,38338
Non-Hispanic Asian,35-44 years,New Hampshire,6673
Non-Hispanic Asian,35-44 years,New Jersey,153033
Non-Hispanic Asian,35-44 years,New Mexico,5120
Non-Hispanic Asian,35-44 years,New York,259526
Non-Hispanic Asian,35-44 years,North Carolina,58104
Non-Hispanic Asian,35-44 years,North Dakota,2093
Non-Hispanic Asian,35-44 years,Ohio,47290
Non-Hispanic Asian,35-44 years,Oklahoma,13977
Non-Hispanic Asian,35-44 years,Oregon,32466
Non-Hispanic Asian,35-44 years,Pennsylvania,75303
Non-Hispanic Asian,35-44 years,Rhode Island,5683
Non-Hispanic Asian,35-44 years,South Carolina,14881
Non-Hispanic Asian,35-44 years,South Dakota,2198
Non-Hispanic Asian,35-44 years,Tennessee,22106
Non-Hispanic Asian,35-44 years,Texas,253122
Non-Hispanic Asian,35-44 years,United States,2999169
Non-Hispanic Asian,35-44 years,Utah,12645
Non-Hispanic Asian,35-44 years,Vermont,1679
Non-Hispanic Asian,35-44 years,Virginia,101242
Non-Hispanic Asian,35-44 years,Washington,113298
Non-Hispanic Asian,35-44 years,West Virginia,2251
Non-Hispanic Asian,35-44 years,Wisconsin,26016
Non-Hispanic Asian,35-44 years,Wyoming,801
Non-Hispanic Asian,45-54 years,Alabama,10660
Non-Hispanic Asian,45-54 years,Alaska,6606
Non-Hispanic Asian,45-54 years,Arizona,34082
Non-Hispanic Asian,45-54 years,Arkansas,6079
Non-Hispanic Asian,45-54 years,California,820209
Non-Hispanic Asian,45-54 years,Colorado,25786
Non-Hispanic Asian,45-54 years,Connecticut,23946
Non-Hispanic Asian,45-54 years,Delaware,4927
Non-Hispanic Asian,45-54 years,District of Columbia,3089
Non-Hispanic Asian,45-54 years,Florida,89164
Non-Hispanic Asian,45-54 years,Georgia,64131
Non-Hispanic Asian,45-54 years,Hawaii,72857
Non-Hispanic Asian,45-54 years,Idaho,3364
Non-Hispanic Asian,45-54 years,Illinois,96827
Non-Hispanic Asian,45-54 years,Indiana,18776
Non-Hispanic Asian,45-54 years,Iowa,9204
Non-Hispanic Asian,45-54 years,Kansas,10824
Non-Hispanic Asian,45-54 years,Kentucky,9066
Non-Hispanic Asian,45-54 years,Louisiana,10870
Non-Hispanic Asian,45-54 years,Maine,2196
Non-Hispanic Asian,45-54 years,Maryland,58245
Non-Hispanic Asian,45-54 years,Massachusetts,62488
Non-Hispanic Asian,45-54 years,Michigan,43713
Non-Hispanic Asian,45-54 years,Minnesota,30863
Non-Hispanic Asian,45-54 years,Mississippi,4261
Non-Hispanic Asian,45-54 years,Missouri,16202
Non-Hispanic Asian,45-54 years,Montana,1106
Non-Hispanic Asian,45-54 years,Nebraska,5448
Non-Hispanic Asian,45-54 years,Nevada,37716
Non-Hispanic Asian,45-54 years,New Hampshire,5513
Non-Hispanic Asian,45-54 years,New Jersey,126090
Non-Hispanic Asian,45-54 years,New Mexico,4865
Non-Hispanic Asian,45-54 years,New York,233798
Non-Hispanic Asian,45-54 years,North Carolina,42003
Non-Hispanic Asian,45-54 years,North Dakota,1320
Non-Hispanic Asian,45-54 years,Ohio,34897
Non-Hispanic Asian,45-54 years,Oklahoma,11072
Non-Hispanic Asian,45-54 years,Oregon,28032
Non-Hispanic Asian,45-54 years,Pennsylvania,60601
Non-Hispanic Asian,45-54 years,Rhode Island,4115
Non-Hispanic Asian,45-54 years,South Carolina,12177
Non-Hispanic Asian,45-54 years,South Dakota,1591
Non-Hispanic Asian,45-54 years,Tennessee,17394
Non-Hispanic Asian,45-54 years,Texas,201042
Non-Hispanic Asian,45-54 years,United States,2573959
Non-Hispanic Asian,45-54 years,Utah,9996
Non-Hispanic Asian,45-54 years,Vermont,1357
Non-Hispanic Asian,45-54 years,Virginia,85176
Non-Hispanic Asian,45-54 years,Washington,90558
Non-Hispanic Asian,45-54 years,West Virginia,1909
Non-Hispanic Asian,45-54 years,Wisconsin,17082
Non-Hispanic Asian,45-54 years,Wyoming,666
Non-Hispanic Asian,55-64 years,Alabama,7241
Non-Hispanic Asian,55-64 years,Alaska,6026
Non-Hispanic Asian,55-64 years,Arizona,24802
Non-Hispanic Asian,55-64 years,Arkansas,4470
Non-Hispanic Asian,55-64 years,California,729617
Non-Hispanic Asian,55-64 years,Colorado,18020
Non-Hispanic Asian,55-64 years,Connecticut,15722
Non-Hispanic Asian,55-64 years,Delaware,3866
Non-Hispanic Asian,55-64 years,District of Columbia,1876
Non-Hispanic Asian,55-64 years,Florida,72839
Non-Hispanic Asian,55-64 years,Georgia,44395
Non-Hispanic Asian,55-64 years,Hawaii,80750
Non-Hispanic Asian,55-64 years,Idaho,2705
Non-Hispanic Asian,55-64 years,Illinois,75167
Non-Hispanic Asian,55-64 years,Indiana,11798
Non-Hispanic Asian,55-64 years,Iowa,5396
Non-Hispanic Asian,55-64 years,Kansas,7411
Non-Hispanic Asian,55-64 years,Kentucky,5564
Non-Hispanic Asian,55-64 years,Louisiana,8962
Non-Hispanic Asian,55-64 years,Maine,1648
Non-Hispanic Asian,55-64 years,Maryland,46692
Non-Hispanic Asian,55-64 years,Massachusetts,43704
Non-Hispanic Asian,55-64 years,Michigan,29115
Non-Hispanic Asian,55-64 years,Minnesota,19331
Non-Hispanic Asian,55-64 years,Mississippi,3616
Non-Hispanic Asian,55-64 years,Missouri,11206
Non-Hispanic Asian,55-64 years,Montana,857
Non-Hispanic Asian,55-64 years,Nebraska,3283
Non-Hispanic Asian,55-64 years,Nevada,34808
Non-Hispanic Asian,55-64 years,New Hampshire,3512
Non-Hispanic Asian,55-64 years,New Jersey,97846
Non-Hispanic Asian,55-64 years,New Mexico,3765
Non-Hispanic Asian,55-64 years,New York,209880
Non-Hispanic Asian,55-64 years,North Carolina,26429
Non-Hispanic Asian,55-64 years,North Dakota,716
Non-Hispanic Asian,55-64 years,Ohio,24442
Non-Hispanic Asian,55-64 years,Oklahoma,8668
Non-Hispanic Asian,55-64 years,Oregon,19941
Non-Hispanic Asian,55-64 years,Pennsylvania,43718
Non-Hispanic Asian,55-64 years,Rhode Island,3212
Non-Hispanic Asian,55-64 years,South Carolina,8732
Non-Hispanic Asian,55-64 years,South Dakota,1114
Non-Hispanic Asian,55-64 years,Tennessee,11365
Non-Hispanic Asian,55-64 years,Texas,139788
Non-Hispanic Asian,55-64 years,United States,2078032
Non-Hispanic Asian,55-64 years,Utah,6976
Non-Hispanic Asian,55-64 years,Vermont,1193
Non-Hispanic Asian,55-64 years,Virginia,60309
Non-Hispanic Asian,55-64 years,Washington,72055
Non-Hispanic Asian,55-64 years,West Virginia,1510
Non-Hispanic Asian,55-64 years,Wisconsin,11398
Non-Hispanic Asian,55-64 years,Wyoming,576
Non-Hispanic Asian,65-74 years,Alabama,4552
Non-Hispanic Asian,65-74 years,Alaska,3395
Non-Hispanic Asian,65-74 years,Arizona,17867
Non-Hispanic Asian,65-74 years,Arkansas,2717
Non-Hispanic Asian,65-74 years,California,519610
Non-Hispanic Asian,65-74 years,Colorado,11806
Non-Hispanic Asian,65-74 years,Connecticut,9682
Non-Hispanic Asian,65-74 years,Delaware,2724
Non-Hispanic Asian,65-74 years,District of Columbia,1260
Non-Hispanic Asian,65-74 years,Florida,53172
Non-Hispanic Asian,65-74 years,Georgia,27075
Non-Hispanic Asian,65-74 years,Hawaii,69859
Non-Hispanic Asian,65-74 years,Idaho,1861
Non-Hispanic Asian,65-74 years,Illinois,56721
Non-Hispanic Asian,65-74 years,Indiana,7412
Non-Hispanic Asian,65-74 years,Iowa,3082
Non-Hispanic Asian,65-74 years,Kansas,4569
Non-Hispanic Asian,65-74 years,Kentucky,3450
Non-Hispanic Asian,65-74 years,Louisiana,5790
Non-Hispanic Asian,65-74 years,Maine,1068
Non-Hispanic Asian,65-74 years,Maryland,31054
Non-Hispanic Asian,65-74 years,Massachusetts,26341
Non-Hispanic Asian,65-74 years,Michigan,18418
Non-Hispanic Asian,65-74 years,Minnesota,11011
Non-Hispanic Asian,65-74 years,Mississippi,2059
Non-Hispanic Asian,65-74 years,Missouri,7276
Non-Hispanic Asian,65-74 years,Montana,589
Non-Hispanic Asian,65-74 years,Nebraska,2193
Non-Hispanic Asian,65-74 years,Nevada,28070
Non-Hispanic Asian,65-74 years,New Hampshire,2169
Non-Hispanic Asian,65-74 years,New Jersey,62507
Non-Hispanic Asian,65-74 years,New Mexico,2876
Non-Hispanic Asian,65-74 years,New York,132868
Non-Hispanic Asian,65-74 years,North Carolina,16376
Non-Hispanic Asian,65-74 years,North Dakota,501
Non-Hispanic Asian,65-74 years,Ohio,15961
Non-Hispanic Asian,65-74 years,Oklahoma,5188
Non-Hispanic Asian,65-74 years,Oregon,13112
Non-Hispanic Asian,65-74 years,Pennsylvania,28522
Non-Hispanic Asian,65-74 years,Rhode Island,1924
Non-Hispanic Asian,65-74 years,South Carolina,5941
Non-Hispanic Asian,65-74 years,South Dakota,428
Non-Hispanic Asian,65-74 years,Tennessee,7338
Non-Hispanic Asian,65-74 years,Texas,92527
Non-Hispanic Asian,65-74 years,United States,1423437
Non-Hispanic Asian,65-74 years,Utah,4223
Non-Hispanic Asian,65-74 years,Vermont,563
Non-Hispanic Asian,65-74 years,Virginia,39212
Non-Hispanic Asian,65-74 years,Washington,48206
Non-Hispanic Asian,65-74 years,West Virginia,1299
Non-Hispanic Asian,65-74 years,Wisconsin,6637
Non-Hispanic Asian,65-74 years,Wyoming,376
Non-Hispanic Asian,75-84 years,Alabama,1736
Non-Hispanic Asian,75-84 years,Alaska,1311
Non-Hispanic Asian,75-84 years,Arizona,7905
Non-Hispanic Asian,75-84 years,Arkansas,1077
Non-Hispanic Asian,75-84 years,California,259080
Non-Hispanic Asian,75-84 years,Colorado,5327
Non-Hispanic Asian,75-84 years,Connecticut,4405
Non-Hispanic Asian,75-84 years,Delaware,1343
Non-Hispanic Asian,75-84 years,District of Columbia,564
Non-Hispanic Asian,75-84 years,Florida,24229
Non-Hispanic Asian,75-84 years,Georgia,11409
Non-Hispanic Asian,75-84 years,Hawaii,38717
Non-Hispanic Asian,75-84 years,Idaho,639
Non-Hispanic Asian,75-84 years,Illinois,26026
Non-Hispanic Asian,75-84 years,Indiana,2733
Non-Hispanic Asian,75-84 years,Iowa,1292
Non-Hispanic Asian,75-84 years,Kansas,2002
Non-Hispanic Asian,75-84 years,Kentucky,1510
Non-Hispanic Asian,75-84 years,Louisiana,2213
Non-Hispanic Asian,75-84 years,Maine,511
Non-Hispanic Asian,75-84 years,Maryland,15029
Non-Hispanic Asian,75-84 years,Massachusetts,12898
Non-Hispanic Asian,75-84 years,Michigan,8756
Non-Hispanic Asian,75-84 years,Minnesota,4928
Non-Hispanic Asian,75-84 years,Mississippi,881
Non-Hispanic Asian,75-84 years,Missouri,3191
Non-Hispanic Asian,75-84 years,Montana,232
Non-Hispanic Asian,75-84 years,Nebraska,845
Non-Hispanic Asian,75-84 years,Nevada,12568
Non-Hispanic Asian,75-84 years,New Hampshire,884
Non-Hispanic Asian,75-84 years,New Jersey,29862
Non-Hispanic Asian,75-84 years,New Mexico,1189
Non-Hispanic Asian,75-84 years,New York,62281
Non-Hispanic Asian,75-84 years,North Carolina,6938
